Nom du produit;N° Permis;Etat d’autorisation;Détenteur PCP;Produit de référence français;N° AMM de référence français;Nom du produit importé;N° AMM du produit importé;Etat Membre d'origine;Mentions d'étiquetage;
ZELOMIX OD;2220661;AUTORISE;GRITCHE;ZORVEC ZELAVIN;2180380;ORONDIS VEG;AMM n° 17462;Italie;Selon le produit de référence français;
SIMTOP REX;2220106;AUTORISE;SIMAGRO Trade EOOD;TOPREX;2080147;TOP REX;AMM n° 040PC/ 27.02.2014;Roumanie;Selon le produit de référence français;
SIMADEN PRO;2210047;AUTORISE;SIMAGRO Trade EOOD;ADENGO XTRA;2160693;ADENGO 465 SC;AMM n° 2789-26.06.2008;Roumanie;Selon le produit de référence français;
TOURLOS;2230513;AUTORISE;GRITCHE;SAVIAL FORTE;2190158;MIKONOS;AMM n° 18001;Italie;Selon le produit de référence français;
CLAYTON EL NINO;2160814;AUTORISE;CLAYTON PLANT PROTECTION LTD;COMPIL;2130068;HURRICANE;AMM n° 04357;Irlande;Selon le produit de référence français;
BILAN;2210836;AUTORISE;GRITCHE;DELAN WG;9600395;DITHO WG;AMM n° 9069 P/B;Belgique;Selon le produit de référence français;
CAZOOIL79;2180690;AUTORISE;M. CAZORLA S.L;ESTIUOIL;2170462;ESTIUOIL;AMM n° ES-00290;Espagne;Selon le produit de référence français;
INDOEKA 15;2190966;RETIRE;M. CAZORLA S.L;EXPLICIT EC;2110073;DUPONT EXPLICIT 150 EC;AMM n° 25.466;Espagne;Selon le produit de référence français;
INDOKA;2110054;RETIRE;M. CAZORLA S.L;STEWARD;9800144;STEWARD;AMM n° 22.693;Espagne;Selon le produit de référence français;
INDOKA EC;2180586;RETIRE;M. CAZORLA S.L;EXPLICIT EC;2110073;AVAUNT EC;AMM n° 11173;Italie;Selon le produit de référence français;
INDOPEX;2160945;RETIRE;FRARIMPEX;EXPLICIT EC;2110073;AVAUNT EC;AMM n° 11173;Italie;Selon le produit de référence français;
INDU;2210048;RETIRE;SHARDA CROPCHEM ESPAÑA S.L.;STEWARD;9800144;STEWARD;AMM n° 0093;Portugal;Selon le produit de référence français;
MILOU;2060112;RETIRE;GRITCHE;STEWARD;9800144;STEWARD;AMM n° 12371;Pays-Bas;Selon le produit de référence français;
MILOU;2060112;RETIRE;GRITCHE;STEWARD;9800144;STEWARD;AMM n° 22693;Espagne;Selon le produit de référence français;
MILOU;2060112;RETIRE;GRITCHE;STEWARD;9800144;STEWARD;AMM n° 2737;Autriche;Selon le produit de référence français;
MILOU;2060112;RETIRE;GRITCHE;STEWARD;9800144;STEWARD;AMM n° 4629-00;Allemagne;Selon le produit de référence français;
SAKARB;2210045;RETIRE;TOP SAS;STEWARD;9800144;STEWARD 30 WG;AMM n° R-51/2011;Pologne;Selon le produit de référence français;
EROLD;2100191;AUTORISE;TOP SAS;FOSBURI;2080145;HEROLD SC;AMM n° 9533 P/B;Belgique;Selon le produit de référence français;
TONEL;2120007;RETIRE;TRIASEM;EXPLICIT;2000236;AVAUNT 150 SC;AMM n° 2002/22.06.1999;Roumanie;Selon le produit de référence français;
CICAPYR;2150031;AUTORISE;BIOTERRA DI PASCHIERO PAOLA & C.SNC;PYREVERT;2080038;BIOPIREN PLUS;AMM n° 10588;Italie;Selon le produit de référence français;
CICAPYR;2150031;AUTORISE;BIOTERRA DI PASCHIERO PAOLA & C.SNC;PYREVERT;2080038;FLORA VERDE;AMM n° 10589;Italie;Selon le produit de référence français;
ARCADIS;2130155;AUTORISE;GRITCHE;CALLISTO;9900047;CALLISTO;AMM n° 9308/B;Belgique;Selon le produit de référence français;
AGRI-LOB;2210757;AUTORISE;AGRICANIGOU SARL;LOBETEC;2170435;LOBETEC;AMM n° ES-00544;Espagne;Selon le produit de référence français;
CLAYTON MESSIAH;2210470;AUTORISE;CLAYTON PLANT PROTECTION LTD;MOZZAR;2190062;BELKAR;AMM n° 5452-0;République tchèque;Selon le produit de référence français;
HEXALIM;2070129;RETIRE;HEXA-GONES;HELITOX QDX;2020234;;;;;
RAILTRAX;2110175;AUTORISE;PSI (UK) LTD;EPSILON;9800262;CHIKARA 25 WG;AMM n° 10929;Italie;Selon le produit de référence français;
RAILTRAX;2110175;AUTORISE;PSI (UK) LTD;EPSILON;9800262;KATANA;AMM n° 004837-60;Allemagne;Selon le produit de référence français;
RAILTRAX;2110175;AUTORISE;PSI (UK) LTD;EPSILON;9800262;KATANA;AMM n° 14682;Italie;Selon le produit de référence français;
C-FINI;2170059;AUTORISE;GRITCHE;ABAK;2090041;CAPRI;AMM n° 9764 P/B;Belgique;Selon le produit de référence français;
TOPMILDIOU;2170232;AUTORISE;TOP SAS;RANMAN TOP;2110012;RANMAN TOP;AMM n° 13467 N;Pays-Bas;Selon le produit de référence français;
TOPMILDIOU;2170232;AUTORISE;TOP SAS;RANMAN TOP;2110012;RANMAN TOP 160 SC;AMM n° R-12/2012 wu;Pologne;Selon le produit de référence français;
TOPMILDIOU;2170232;AUTORISE;TOP SAS;RANMAN TOP;2110012;RANMAN TOP;AMM n° 10042_P-B;Belgique;Selon le produit de référence français;
PAN DORE;2220220;AUTORISE;PAN AGRICULTURE LIMITED;INSIGNIA;2060086;CABRIO WG;AMM n° 16038;Italie;Selon le produit de référence français;
ARYFLO;2180363;AUTORISE;TOP SAS;ZYPAR;2160937;ZYPAR;AMM n° 16802;Italie;Selon le produit de référence français;
PONTOS PIMP;2210630;AUTORISE;UNISEM S.A;PONTOS;2180864;PONTOS;AMM n° R-170/2017;Pologne;Selon le produit de référence français;
PREVINO;2220314;AUTORISE;GRITCHE;TRESO;2190687;TRESO;AMM n° 00A069-00;Allemagne;Selon le produit de référence français;
BRASSIPROP 500 SC;2211139;AUTORISE;PHYBELCO SPRL;BUTISAN S;8100291;BUTISAN 500 SC;AMM n° R-6/2017 wu;Pologne;Selon le produit de référence français;
SYRMIONE 600 SC;2220470;AUTORISE;SAGA SAS;GLOSSET 600 SC;2190149;GLOSSET 600 SC;AMM n° 16695;Italie;Selon le produit de référence français;
ZELPAT;2220496;AUTORISE;GRITCHE;ZORVEC ENICADE;2180379;ZORVEC ENICADE;AMM n° 15682N;Pays-Bas;Selon le produit de référence français;
MEFLUNA;2220254;AUTORISE;GRITCHE;REVYSTAR;2190509;REVYSTAR;AMM n° 00A275-00;Allemagne;Selon le produit de référence français;
ADENGO 465 SC;2210038;AUTORISE;UNISEM S.A;ADENGO XTRA;2160693;ADENGO 465 SC;AMM n° 2789;Roumanie;Selon le produit de référence français;
CLAYTON GATSO;2210527;AUTORISE;CLAYTON PLANT PROTECTION LTD;CENTURION R;9900115;CENTURION MAX;AMM n° 04948;Irlande;Selon le produit de référence français;
NORBIZAE;2190303;AUTORISE;M. CAZORLA S.L;ORTIVA;9700332;MIRADOR SC;AMM n° 15111;Italie;Selon le produit de référence français;
BAGAR 600;2210977;AUTORISE;GRITCHE;BATTLE DELTA;2171054;BATTLE DELTA 600 SC;AMM n° R-144/2016 - R-609/2020d;Pologne;Selon le produit de référence français;
KARBO;2160660;RETIRE;GRITCHE;INSEGAR;8400477;INSEGAR;AMM n° 8812P/B;Belgique;Selon le produit de référence français;
AZOX IP;2220562;AUTORISE;DHA;ORTIVA;9700332;MIRADOR SC;AMM n° 15111;Italie;Selon le produit de référence français;
NICOMES IP;2210980;AUTORISE;DHA;ELUMIS;2100111;ELUMIS OD;AMM n° 01151-PPP-3/14.09.2021;Bulgarie;Selon le produit de référence français;
BACKDRAFT;2080008;RETIRE;GRITCHE;BASTA F1;9000471;CHALLENGE;AMM n° 7306;Royaume-Uni;Selon le produit de référence français;
BACKDRAFT;2080008;RETIRE;GRITCHE;BASTA F1;9000471;FINALE SL 14;AMM n° 10645;Pays-Bas;Selon le produit de référence français;
BACKDRAFT;2080008;RETIRE;GRITCHE;BASTA F1;9000471;BASTA S;AMM n° 8464/B;Belgique;Selon le produit de référence français;
BACKDRAFT;2080008;RETIRE;GRITCHE;BASTA F1;9000471;BASTA 150;AMM n° 200;Lettonie;Selon le produit de référence français;
BACKDRAFT;2080008;RETIRE;GRITCHE;BASTA F1;9000471;BASTA 15;AMM n° 96.MB.0128;Slovaquie;Selon le produit de référence français;
BACKDRAFT;2080008;RETIRE;GRITCHE;BASTA F1;9000471;BASTA 15;AMM n° SFS 6064;Slovénie;Selon le produit de référence français;
BACKDRAFT;2080008;RETIRE;GRITCHE;BASTA F1;9000471;BASTA S;AMM n° 3061;Portugal;Selon le produit de référence français;
BACKDRAFT;2080008;RETIRE;GRITCHE;BASTA F1;9000471;BASTA;AMM n° 574/99;Pologne;Selon le produit de référence français;
BACKDRAFT;2080008;RETIRE;GRITCHE;BASTA F1;9000471;BASTA 15;AMM n° 3732-5;République tchèque;Selon le produit de référence français;
BACKDRAFT;2080008;RETIRE;GRITCHE;BASTA F1;9000471;ZOPP;AMM n° 15627/1994;Hongrie;Selon le produit de référence français;
BACKDRAFT;2080008;RETIRE;GRITCHE;BASTA F1;9000471;HARVEST;AMM n° 7321;Royaume-Uni;Selon le produit de référence français;
BACKDRAFT;2080008;RETIRE;GRITCHE;BASTA F1;9000471;KASPAR;AMM n° 11214;Royaume-Uni;Selon le produit de référence français;
BACKDRAFT;2080008;RETIRE;GRITCHE;BASTA F1;9000471;BASTA 14 SL;AMM n° 1319/26.02.1992;Roumanie;Selon le produit de référence français;
BACKDRAFT;2080008;RETIRE;GRITCHE;BASTA F1;9000471;BASTA S;AMM n° 0521;Portugal;Selon le produit de référence français;
BASTA S;2150661;RETIRE;UNISEM S.A;BASTA F1;9000471;BASTA S;AMM n° 3061;Portugal;Selon le produit de référence français;
XTRALINE;2110030;RETIRE;TOP SAS;PRIORI XTRA;2060115;PRIORI XTRA;AMM n° 9502/B;Belgique;Selon le produit de référence français;
STARLINE XTRA;2140047;RETIRE;TOP SAS;ZAKEO XTRA ;2060115;AMISTAR XTRA;AMM n° 12813;Italie;Selon le produit de référence français;
STARLINE XTRA;2140047;RETIRE;TOP SAS;ZAKEO XTRA ;2060115;MIRADOR XTRA;AMM n° 12813;Italie;Selon le produit de référence français;
QUESACO;2210342;RETIRE;GRITCHE;ZAKEO XTRA;2060115;MIRADOR XTRA;AMM n° 12813;Italie;Selon le produit de référence français;
MIRADOR XTRA;2210344;RETIRE;UNISEM S.A;ZAKEO XTRA;2060115;MIRADOR XTRA;AMM n° AS2-37F(2018);Lituanie;Selon le produit de référence français;
CYPAZ;2161064;RETIRE;GRITCHE;PRIORI XTRA;2060115;AMISTAR XTRA;AMM n° 0260F/04;Lituanie;Selon le produit de référence français;
CAZOSTAR XTRA;2150015;RETIRE;M. CAZORLA S.L;PRIORI XTRA;2060115;AMISTAR XTRA;AMM n° 12813;Italie;Selon le produit de référence français;
CAZOSTAR XTRA;2150015;RETIRE;M. CAZORLA S.L;PRIORI XTRA;2060115;AMISTAR XTRA;AMM n° 24371;Espagne;Selon le produit de référence français;
ACYPALE;2150053;RETIRE;RIVALE;PRIORI XTRA;2060115;AMISTAR XTRA;AMM n° 12813;Italie;Selon le produit de référence français;
EXOR;2150353;AUTORISE;GRITCHE;NORDOX 75 WG;2010130;NORDOX 75 WG;AMM n° R-46/2012;Pologne;Selon le produit de référence français;
EXOR;2150353;AUTORISE;GRITCHE;NORDOX 75 WG;2010130;COBRE NORDOX 75 WG;AMM n° 22560;Espagne;Selon le produit de référence français;
EXOR;2150353;AUTORISE;GRITCHE;NORDOX 75 WG;2010130;COBRE NORDOX SUPER 75 WG;AMM n° 10632;Italie;Selon le produit de référence français;
EXOR;2150353;AUTORISE;GRITCHE;NORDOX 75 WG;2010130;NORDOX 75 WG;AMM n° R-173/2015;Pologne;Selon le produit de référence français;
CAZCOPOR75;2100088;AUTORISE;M. CAZORLA S.L;NORDOX 75 WG;2010130;COBRE NORDOX 75 WG;AMM n° 22.560;Espagne;Selon le produit de référence français;
BASAPTY;2140008;AUTORISE;SAGA SAS;BASAGRAN SG;9500628;BASAGRAN SG;AMM n° 9843;Italie;Selon le produit de référence français;
BASAPTY;2140008;AUTORISE;SAGA SAS;BASAGRAN SG;9500628;RINGRON;AMM n° 10357;Italie;Selon le produit de référence français;
DIMPEX;2150311;AUTORISE;FRARIMPEX;CENTURION 240 EC;9400052;SELECT;AMM n° 8796;Italie;Selon le produit de référence français;
CLAYTON TASSEL;2210558;AUTORISE;CLAYTON PLANT PROTECTION LTD;BARRACUDA;2170423;BARRACUDA;AMM n° 05967;Irlande;Selon le produit de référence français;
LOZAC;2211134;AUTORISE;GRITCHE;ANITOP;2190639;BUTISAN AVANT;AMM n° 176PC/16.03.2016;Roumanie;Selon le produit de référence français;
TARTAGAL;2211136;AUTORISE;UNISEM S.A;MOZZAR;2190062;BELKAR;AMM n° 5452-0;République tchèque;Selon le produit de référence français;
NAPROTOP;2150091;RETIRE;TOP SAS;COLZAMID;8800603;DEVRINOL 450 SC;AMM n° R-250/2014;Pologne;Selon le produit de référence français;
CLOMAGOLD 36 CS;2210559;AUTORISE;PHYBELCO SPRL;LIBECCIO 36 CS;2200101;LIBECCIO;AMM n° 00A152-00;Allemagne;Selon le produit de référence français;
CLOMAGOLD 36 CS;2210559;AUTORISE;PHYBELCO SPRL;LIBECCIO 36 CS;2200101;SIRTAKI;AMM n° 00A152-60;Allemagne;Selon le produit de référence français;
LISZT;2210978;AUTORISE;GRITCHE;MOZZAR;2190062;BELKAR;AMM n° 008778-00;Allemagne;Selon le produit de référence français;
BOSCATOP;2130220;AUTORISE;TOP SAS;PICTOR PRO;2050075;FILAN WG;AMM n° 15344;Italie;Selon le produit de référence français;
MANDIREV;2100049;AUTORISE;TOP SAS;REVUS;2080098;REVUS;AMM n° 12969N;Pays-Bas;Selon le produit de référence français;
MANDIREV;2100049;AUTORISE;TOP SAS;REVUS;2080098;REVUS;AMM n° 9604P/B;Belgique;Selon le produit de référence français;
NAKY;2170396;AUTORISE;GRITCHE;KUNSHI;2120209;KUNSHI;AMM n° 14371 N;Pays-Bas;Selon le produit de référence français;
ROSIMPORT;2100211;AUTORISE;GRITCHE;PROSARO;2100108;PROLINE STAR;AMM n° 15640;Italie;Selon le produit de référence français;
ROSIMPORT;2100211;AUTORISE;GRITCHE;PROSARO;2100108;PROSARO;AMM n° 13386;Italie;Selon le produit de référence français;
ROSIMPORT;2100211;AUTORISE;GRITCHE;PROSARO;2100108;PROSARO;AMM n° 0303F/06;Lituanie;Selon le produit de référence français;
ROSIMPORT;2100211;AUTORISE;GRITCHE;PROSARO;2100108;PROSARO;AMM n° 025662-00;Allemagne;Selon le produit de référence français;
ROSIMPORT;2100211;AUTORISE;GRITCHE;PROSARO;2100108;PROSARO;AMM n° 1917/2005;Hongrie;Selon le produit de référence français;
ROSIMPORT;2100211;AUTORISE;GRITCHE;PROSARO;2100108;PROSARO 250 EC;AMM n° R-123/2009;Pologne;Selon le produit de référence français;
ROSIMPORT;2100211;AUTORISE;GRITCHE;PROSARO;2100108;PROSARO 250 EC;AMM n° 2517/22.02.2005;Roumanie;Selon le produit de référence français;
ROSIMPORT;2100211;AUTORISE;GRITCHE;PROSARO;2100108;TRAPER 250 EC;AMM n° R-151/2014;Pologne;Selon le produit de référence français;
SOLA;2170829;AUTORISE;GRITCHE;ELATUS PLUS;2160617;ELATUS PLUS;AMM n° 008405-00;Allemagne;Selon le produit de référence français;
SOLA DUO;2170830;AUTORISE;GRITCHE;ELATUS ERA;2160959;ELATUS ERA;AMM n° 0552;Lettonie;Selon le produit de référence français;
SOLA DUO;2170830;AUTORISE;GRITCHE;ELATUS ERA;2160959;ELATUS ERA;AMM n° 008406-00;Allemagne;Selon le produit de référence français;
SOLA DUO;2170830;AUTORISE;GRITCHE;ELATUS ERA;2160959;ELATUS ERA ;AMM n° AS2-55F(2017);Lituanie;Selon le produit de référence français;
TRILAN PRO;2160996;AUTORISE;GRITCHE;DELAN PRO;2160726;DELAN PRO;AMM n° 19-223;Danemark;Selon le produit de référence français;
TRILAN PRO;2160996;AUTORISE;GRITCHE;DELAN PRO;2160726;DELAN PRO;AMM n° R-100/2016;Pologne;Selon le produit de référence français;
TRILAN PRO;2160996;AUTORISE;GRITCHE;DELAN PRO;2160726;DELAN PRO;AMM n° 15023N;Pays-Bas;Selon le produit de référence français;
CYPERIA 500 EC;2170835;AUTORISE;SAGA SAS;CYTHRINE MAX;2100026;CYPERKILL MAX 500 EC;AMM n° R-55/2012;Pologne;Selon le produit de référence français;
LUSARO;2160198;AUTORISE;EUROFYTO NV;PROSARO;2100108;PROSARO;AMM n° 13386;Italie;Selon le produit de référence français;
LUSARO;2160198;AUTORISE;EUROFYTO NV;PROSARO;2100108;TRAPER 250 EC;AMM n° R-151/2014;Pologne;Selon le produit de référence français;
LUSARO;2160198;AUTORISE;EUROFYTO NV;PROSARO;2100108;PROSARO 250 EC;AMM n° R-152/2014;Pologne;Selon le produit de référence français;
LUSARO;2160198;AUTORISE;EUROFYTO NV;PROSARO;2100108;PROSARO 250 EC	;AMM n° AS2-2F/2015	;Lituanie;Selon le produit de référence français;
LUSARO;2160198;AUTORISE;EUROFYTO NV;PROSARO;2100108;PROSARO EC 250   ;AMM n° 18-527   ;Danemark;Selon le produit de référence français;
LUSARO;2160198;AUTORISE;EUROFYTO NV;PROSARO;2100108;PROLINE STAR;AMM n° 15640;Italie;Selon le produit de référence français;
MASISI;2170916;AUTORISE;EUROFYTO NV;KUNSHI;2120209;KUNSHI;AMM n° 14371N;Pays-Bas;Selon le produit de référence français;
NAPAQUI;2110052;AUTORISE;EUROFYTO NV;AGIL;8800199;AGIL-S;AMM n° 024107-00;Allemagne;Selon le produit de référence français;
PMP SE;2190262;RETIRE;TOP SAS;CORZAL;2110107;CORZAL 157 SE;AMM n° R-102/2012 et R-661/2015d;Pologne;Selon le produit de référence français;
DIMOXY;2150352;AUTORISE;SAGA SAS;STRATOS ULTRA;9000490;STRATOS ULTRA;AMM n° 01006/06.10.2009;Bulgarie;Selon le produit de référence français;
DIMOXY;2150352;AUTORISE;SAGA SAS;STRATOS ULTRA;9000490;STRATOS ULTRA;AMM n° 10117;Italie;Selon le produit de référence français;
DIMOXY;2150352;AUTORISE;SAGA SAS;STRATOS ULTRA;9000490;STRATOS ULTRA;AMM n° 01006-PPP-2/29.10.2021;Bulgarie;Selon le produit de référence français;
THIENCY ISO IP;2220497;AUTORISE;DHA;ADENGO XTRA;2160693;ADENGO 465 SC;AMM n° 2789/26-06-2008;Roumanie;Selon le produit de référence français;
NOXSAM;2130192;RETIRE;SAGA SAS;BOA;2080029;VIPER;AMM n° 12514;Italie;Selon le produit de référence français;
KOPERED 75 WG;2150325;AUTORISE;SAGA SAS;NORDOX 75 WG;2010130;NORDOX 75 WG;AMM n° R-46/2012;Pologne;Selon le produit de référence français;
EXTROS;2070150;AUTORISE;CAVE DES HAUTS DE GIRONDE;NORDOX 75 WG;2010130;COBRE NORDOX SUPER 75 WG;AMM n° 10632;Italie;Selon le produit de référence français;
EXTROS;2070150;AUTORISE;CAVE DES HAUTS DE GIRONDE;NORDOX 75 WG;2010130;NORDOX 75WG;AMM n° R-11/2004;Pologne;Selon le produit de référence français;
KOPERED NEW;2160512;AUTORISE;SAGA SAS;NORDOX 75 WG;2010130;NORDOX 75 WG;AMM n° R-173/2015;Pologne;Selon le produit de référence français;
PYCONA;2150014;AUTORISE;GRITCHE;LIBRAX;2140173;LIBRAX;AMM n° AS2-30F/2015;Lituanie;Selon le produit de référence français;
PYCONA;2150014;AUTORISE;GRITCHE;LIBRAX;2140173;LIBRAX;AMM n° 10177 P-B;Belgique;Selon le produit de référence français;
PYCONA;2150014;AUTORISE;GRITCHE;LIBRAX;2140173;LIBRAX;AMM n° R-47/2016;Pologne;Selon le produit de référence français;
PYCONA;2150014;AUTORISE;GRITCHE;LIBRAX;2140173;LIBRAX;AMM n° 04968;Irlande;Selon le produit de référence français;
PYCONA;2150014;AUTORISE;GRITCHE;LIBRAX;2140173;LIBRAX;AMM n° 15500;Italie;Selon le produit de référence français;
PYCONA;2150014;AUTORISE;GRITCHE;LIBRAX;2140173;LIBRAX;AMM n° AS2-55F(2019);Lituanie;Selon le produit de référence français;
PYCONA;2150014;AUTORISE;GRITCHE;LIBRAX;2140173;LIBRAX;AMM n° 007969-00;Allemagne;Selon le produit de référence français;
FLUPEN;2130248;RETIRE;GRITCHE;TROOPER;2090118;;;;;
MOXYL DUO WG;2170192;RETIRE;SAGA SAS;KUNSHI;2120209;;;;;
PENDIFLU;2140145;RETIRE;TOP SAS;TROOPER;2090118;;;;;
CYMOX FLOW;2220311;AUTORISE;TOP SAS;CYMBAL FLOW;2170684;CYMBAL FLOW;AMM n° 15286N;Pays-Bas;Selon le produit de référence français;
AZAMOX 40 SL;2220224;AUTORISE;SAGA SAS;PULSAR 40;2090064;PULSAR 40;AMM n° 1859/29.09.1998;Roumanie;Selon le produit de référence français;
PICLO IP;2210841;AUTORISE;DHA;MOZZAR;2190062;BELKAR;AMM n° 5452-0;République tchèque;Selon le produit de référence français;
NARIA;2170200;AUTORISE;TOP SAS;KIX;2150058;NARITA;AMM n° 14307 N;Pays-Bas;Selon le produit de référence français;
KATWE;2160816;AUTORISE;EUROFYTO NV;LIBRAX;2140173;LIBRAX;AMM n° 04465;Irlande;Selon le produit de référence français;
KATWE;2160816;AUTORISE;EUROFYTO NV;LIBRAX;2140173;LIBRAX;AMM n° 04968;Irlande;Selon le produit de référence français;
KATWE;2160816;AUTORISE;EUROFYTO NV;LIBRAX;2140173;LIBRAX;AMM n° R-47/2016;Pologne;Selon le produit de référence français;
KATWE;2160816;AUTORISE;EUROFYTO NV;LIBRAX;2140173;LIBRAX;AMM n° 007969-00;Allemagne;Selon le produit de référence français;
KATWE;2160816;AUTORISE;EUROFYTO NV;LIBRAX;2140173;VASTIMO;AMM n° 007969-60;Allemagne;Selon le produit de référence français;
TYANON 500 SC;2220316;AUTORISE;SAGA SAS;DELAN SC;2171134;DELAN SC;AMM n° ES-00705;Espagne;Selon le produit de référence français;
DANICONFUS;2210759;AUTORISE;M. CAZORLA S.L;LOBETEC;2170435;LOBETEC;AMM n° ES-00544;Espagne;Selon le produit de référence français;
AGRILAN SC;2210456;AUTORISE;AGRICANIGOU SARL;DELAN SC;2171134;DELAN SC;AMM n° ES-00705;Espagne;Selon le produit de référence français;
CENTRAL 50;2211130;AUTORISE;TOP SAS;AXIAL PRATIC;2100138;AXIAL 050 EC;AMM n° 2748/19.12.2007;Roumanie;Selon le produit de référence français;
RIXOS;2130003;AUTORISE;RIVALE;TRAXOS;2100139;TRAXOS;AMM n° 12498;Italie;Selon le produit de référence français;
ERAMUS;2170807;AUTORISE;GRITCHE;ELATUS ERA;2160959;ELATUS ERA;AMM n° 0552;Lettonie;Selon le produit de référence français;
ERAMUS;2170807;AUTORISE;GRITCHE;ELATUS ERA;2160959;ELATUS ERA;AMM n° 16384;Italie;Selon le produit de référence français;
KOLZANE CS;2220758;AUTORISE;SAGA SAS;CLOMATE;2140042;CLOMATE;AMM n° 171PC/16.03.2016;Roumanie;Selon le produit de référence français;
PYRIMICARBE-IT;2030455;RETIRE;INTER-TRADE AGRO APS;PIRIMOR G;7500569;;;;;
BUDGET PYRIMICARBE;2020128;RETIRE;AGROTRADE B.V.;PIRIMOR G;7500569;;;;;
FLUXAMET IP;2210351;AUTORISE;DHA;LIBRAX;2140173;LIBRAX;AMM n° 04968;Irlande;Selon le produit de référence français;
QUIRIKOU;2220103;AUTORISE;TOP SAS;QUIRINUS;2190621;QUIRINUS;AMM n° 10605 P/B;Belgique;Selon le produit de référence français;
FLAZUREA 25 WG;2210760;AUTORISE;SAGA SAS;MATSUDA;2170428;MATSUDA 25 WG;AMM n° 16474;Italie;Selon le produit de référence français;
MOUCHOU;2220205;AUTORISE;GRITCHE;MULAN 700 WG;2200779;MULAN 700 WG;AMM n° R-236/2019;Pologne;Selon le produit de référence français;
SIMNICOSUL 4OD;2211146;AUTORISE;SIMAGRO Trade EOOD;NICOZEA;2090101;NICOZEA 4 OD;AMM n° 2820/18.12.2008;Roumanie;Selon le produit de référence français;
MEDIZAL;2200243;RETIRE;GRITCHE;CORZAL;2110107;CORZAL 157 SE;AMM n° R-102/2012;Pologne;Selon le produit de référence français;
TATVAN;2210634;RETIRE;PSI (UK) LTD;CORZAL;2110107;CORZAL 157 SE;AMM n° R-102/2012;Pologne;Selon le produit de référence français;
LESATH 600 SC;2220467;AUTORISE;SAGA SAS;GLOSSET 600 SC;2190149;GLOSSET 600 SC;AMM n° R-159/2018;Pologne;Selon le produit de référence français;
FOSICUP WG;2210973;AUTORISE;SAGA SAS;PANGOLIN DG;2170458;R6 ERRESEI BORDEAUX WG;AMM n° 15047;Italie;Selon le produit de référence français;
ICARO;2120140;RETIRE;EUROFYTO NV;ACROBAT M DG;9600103;FORUM MZ WG;AMM n° 10329;Italie;Selon le produit de référence français;
ASPIC;2090150;RETIRE;SOCIADORE;BOA;2080029;VIPER;AMM n° 12514;Italie;Selon le produit de référence français;
COBRA;2110124;RETIRE;SILO DE TOURTOULEN;BOA;2080029;VIPER;AMM n° 12514;Italie;Selon le produit de référence français;
FAELILOU;2120107;RETIRE;M. CAZORLA S.L;BOA;2080029;VIPER;AMM n° 12514;Italie;Selon le produit de référence français;
VERDE EMAMECTIN;2120142;AUTORISE;Verde Bio s.a.s. di Cunial Gianandrea & C.;AFFIRM;2100231;AFFIRM;AMM n° 13389;Italie;Selon le produit de référence français;
ZAMIR;2120139;AUTORISE;Verde Bio s.a.s. di Cunial Gianandrea & C.;HORTIMEC;8500174;ZAMIR 18;AMM n° 13927;Italie;Selon le produit de référence français;
VERDE NICOSULFURON;2150107;AUTORISE;Verde Bio s.a.s. di Cunial Gianandrea & C.;NISSHIN;9100418;NISSHIN;AMM n° 8843;Italie;Selon le produit de référence français;
ETWAL;2130121;RETIRE;GRITCHE;STARPRO;2110168;;;;;
FENI;2140203;RETIRE;TOP SAS;COMPIL;2130068;;;;;
FLUROXY GOLD;2100079;RETIRE;GOLDENGRASS LIMITED;STARANE 200;8400600;;;;;
GOLDEN MET-M;2090182;RETIRE;GOLDENGRASS LIMITED;DEFT;2080123;;;;;
CAZOVALVI;2130264;RETIRE;M. CAZORLA S.L;VINTAGE M DISPERSS;2080024;VALBON;AMM n° 24.538;Espagne;Selon le produit de référence français;
JAKADIS 300 SC;2210944;AUTORISE;SAGA SAS;SERCADIS;2160962;SERCADIS;AMM n° 16945;Italie;Selon le produit de référence français;
DITANO;2150647;RETIRE;M. CAZORLA S.L;DITHANE NEOTEC;9900242;DITHANE DG NEOTEC;AMM n° 4552;Italie;Selon le produit de référence français;
FUNAMBULE DG;2130042;RETIRE;SAGA SAS;ACROBAT M DG;9600103;FORUM MZ WG;AMM n° 10329;Italie;Selon le produit de référence français;
MANCO 75 RIVA;2100089;RETIRE;RIVALE;DITHANE NEOTEC;9900242;DITHANE DG;AMM n° 18.332;Espagne;Selon le produit de référence français;
MANCO-HM-WG;2120023;RETIRE;HMWC SAS;MANFIL 75 WG;2090139;MANFIL 75 WG;AMM n° 9478/B;Belgique;Selon le produit de référence français;
TERCOPPER 190 SC;2200517;AUTORISE;SAGA SAS;CUPROXAT SC;2090119;CUPROXAT SDI;AMM n° 11569;Italie;Selon le produit de référence français;
ELIXYS 105;2160133;AUTORISE;SAGA SAS;ELUMIS;2100111;ELUMIS OD;AMM n° 01151/25.10.2013;Bulgarie;Selon le produit de référence français;
ELIXYS 105;2160133;AUTORISE;SAGA SAS;ELUMIS;2100111;ELUMIS OD;AMM n° 01151-PPP-3/14.09.2021;Bulgarie;Selon le produit de référence français;
READER;2140111;RETIRE;HMWC SAS;ACROBAT M DG;9600103;FORUM MZ WG;AMM n° 10329;Italie;Selon le produit de référence français;
