Nom du produit;N° Permis;Etat d’autorisation;Détenteur PCP;Produit de référence français;N° AMM de référence français;Nom du produit importé;N° AMM du produit importé;Etat Membre d'origine;Mentions d'étiquetage;
CAZHERA;2150062;AUTORISE;M. CAZORLA S.L;FOSBURI;2080145;HEROLD;AMM n° 25.621;Espagne;Selon le produit de référence français;
KLARO;2140155;AUTORISE;GRITCHE;MAXCEL;2090019;MAXCEL 2 SL;AMM n° 15839;Italie;Selon le produit de référence français;
MITIK;2070127;AUTORISE;TOP SAS;AGRICHEM METAMITRONE WG;9700578;SEISMIC WG;AMM n° 1327;Irlande;Selon le produit de référence français;
OPTIDOR;2040373;AUTORISE;CAVE DES HAUTS DE GIRONDE;TELDOR;9800244;TELDOR;AMM n° 2645/0;Autriche;Selon le produit de référence français;
OPTIDOR;2040373;AUTORISE;CAVE DES HAUTS DE GIRONDE;TELDOR;9800244;TELDOR 50 WG;AMM n° 6772;Grèce;Selon le produit de référence français;
OPTIDOR;2040373;AUTORISE;CAVE DES HAUTS DE GIRONDE;TELDOR;9800244;TELDOR;AMM n° 024533-00;Allemagne;Selon le produit de référence français;
OPTIDOR;2040373;AUTORISE;CAVE DES HAUTS DE GIRONDE;TELDOR;9800244;TELDOR;AMM n° 9059/B;Belgique;Selon le produit de référence français;
OPTIDOR;2040373;AUTORISE;CAVE DES HAUTS DE GIRONDE;TELDOR;9800244;TELDOR;AMM n° 0019;Portugal;Selon le produit de référence français;
OPTIDOR;2040373;AUTORISE;CAVE DES HAUTS DE GIRONDE;TELDOR;9800244;TELDOR;AMM n° 22.130;Espagne;Selon le produit de référence français;
OPTIDOR;2040373;AUTORISE;CAVE DES HAUTS DE GIRONDE;TELDOR;9800244;TELDOR;AMM n° 1411;Irlande;Selon le produit de référence français;
OPTIDOR;2040373;AUTORISE;CAVE DES HAUTS DE GIRONDE;TELDOR;9800244;TELDOR;AMM n° 10532;Italie;Selon le produit de référence français;
RIMSULFUROL;2130039;AUTORISE;RIVALE;TITUS;9000163;TITUS;AMM n° 8130;Italie;Selon le produit de référence français;
TRIKOLZAT;2140108;AUTORISE;PSI (UK) LTD;NOVALL GOLD;2120075;BUTISAN STAR MAX 500 SE;AMM n° R-97/2012;Pologne;Selon le produit de référence français;
PLIFOS;2150032;RETIRE;AGRI CANIGOU SARL;GLYFOS;9100154;GLYFOS;AMM n° 19.100;Espagne;Selon le produit de référence français;
GLIZORLI;2150407;RETIRE;M. CAZORLA S.L;ROSATE 36;2100071;LANDMASTER;AMM n° 21319;Espagne;Selon le produit de référence français;
HYPERION;2070103;RETIRE;TRIASEM;DIVIDEND;9600088;DIVIDEND 30 FS;AMM n° 1761;Roumanie;Selon le produit de référence français;
